notebook,status,reproducible_from_zenodo?,active_archives,archives_not_on_zenodo,commented_archives_count,n_savefig,n_data_writes,output_files,first_titles
ScenariosAnalysis.ipynb,active,yes,gr4sp_BAU2021-Aug-22.tar.gz | gr4sp_JT2021-Aug-30.tar.gz | gr4sp_JT2021-Sep-06.tar.gz | gr4sp_JT2021-Sep-07.tar.gz | gr4sp_LCT2021-Sep-01.tar.gz | gr4sp_SOBOL2021-Feb-03.tar.gz | gr4sp_ST2021-Aug-31.tar.gz | gr4sp_ST2021-Sep-01.tar.gz | gr4sp_ST2021-Sep-04.tar.gz,,0,0,2,EV_JT2021-SEP-1_all.xlsx | EV_JT2021-SEP-6_all.xlsx | EV_JT2021-SEP-7_all.xlsx | EV_LCT2021-Sep-1_all.xlsx | EV_ST2021-Sep-1_all.xlsx | EV_ST2021-Sep-2_all.xlsx | EV_ST2021-Sep-5_all.xlsx | EV_all_BAU.xlsx | LCTVICSimDataYearSummary_seed_1629879749456.csv | LCTVICSimDataYearSummary_seed_1630227173040.csv | VICSimDataMonthlySummary_seed_BC1.csv | VICSimDataMonthlySummary_seed_BC2.csv,"Initial setup / Load results (Sobol, BAUs, consumption, etc) / ISP  and GR4SP consumption scenarios / Load FF LCT and EVA"
SimulationValidation.ipynb,active,n/a (no result archive),,,0,0,0,19902018_historic_emissions_Vic.csv | 2001to2019_historicTariffs.csv | 2005_2020_OpenNemDataV1.csv | VICSimDataMonthlySummary_bau19982051.csv | VICSimDataYearSummary_bau19982051.csv | co-emissions-per-capita-australia.csv | g01hist.xls | gr4spdb_public_tariffshistoric.csv | numberOfHouseholdsABS.csv | population-aus-vic.csv,Intial setup / Load BAU results / Validation private regime / GHG emissions validation
Uncertainty Analysis.ipynb,active,yes,gr4sp_SOBOL2021-Feb-03.tar.gz,,2,4,0,fig{}.png,Initial setup / Load the results / Envelopes / GHGE
ema_gr4sp_EET_HypoPast.ipynb,active,yes,gr4sp_EETPast2021-Jan-14.tar.gz,,1,6,12,EE_{}.xlsx | fig{}.png,Initial setup / Load the results / EET / Analysis of EET
ema_gr4sp_SOBOL_ABY.ipynb,active,yes,gr4sp_SOBOL2021-Feb-03.tar.gz,,1,4,2,SOBOL_{}.xlsx | Sobol_barplo_rank{}.pdf | fig{}.png,Initial setup / SOBOL visualization functions / Load the results / Uncertainties/levers
ema_gr4sp_Snapshots.ipynb,active,n/a (no result archive),,,0,0,2,EV_mean_sobol.xlsx | SustAssessment_{}.xlsx | VICSimDataYear_seed_1621753227017-BAU-1902-2051.csv | organisational_networks_indicators.csv,Load the results / Spiders / Regimen 1 / Regime 2
gr4sp_energy_vulnerability_IMAP.ipynb,active,n/a (no result archive),,,0,1,4,2001to2019_historicTariffs.csv | 2006_2040_data_gasPrices.csv | IMAP Typologies E consumption per type with end uses.xlsx | STRD Dwelling Structure_HIED HouseholdEquivalisedIncome_FMCFFamily Composition_VIC_20061116_IMAPconventionV2.xlsx | dwellingType_Vic1996_2016.csv | fig{}.png | postgres_public_cpi_conversion.csv | postgres_public_household_forecast_victoria.csv | {}_all.xlsx | {}{}.xlsx,Initial setup / Load the results / Load population data / Seting up the indicator components
gr4sp_energy_vulnerability_SOBOL_analysis.ipynb,active,yes,gr4sp_SOBOL2021-Feb-03.tar.gz,,4,1,4,2006_2040_data_gasPrices.csv | EV_all.xlsx | EV_{}.xlsx | IMAP Typologies E consumption per type with end uses.xlsx | STRD Dwelling Structure_HIED HouseholdEquivalisedIncome_FMCFFamily Composition_VIC_20061116_IMAPconventionV2.xlsx | VICSimDataYear_seed_1621753227017-BAU-1902-2051.csv | dwellingType_Vic1996_2016.csv | fig{}.png | postgres_public_cpi_conversion.csv | postgres_public_household_forecast_victoria.csv,Initial setup / Load the results / Load population data / Seting up the indicator components
organisationalChangeOverTime.ipynb,active,n/a (no result archive),,,0,0,0,ActorActorRel_V08.csv | listOrganisations.csv,Sectoral Network Analysis (SNA) / Load data and setup / Prep data / Create Graph
solar30minHistoric.ipynb,active,n/a (no result archive),,,0,0,0,086282_averaged.csv,Solar data / input / Fill data from 2015 onwards / Join two data frames
